SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
541302,DHRUV       ,M ,Q,28.10,29.00,27.25,29.00,29.00,29.00,6,12000,339300.00,
541303,AKSHAR      ,M ,Q,12.06,12.10,12.06,12.10,12.10,12.02,2,69000,832620.00,
541304,INDOUS      ,M ,Q,39.80,39.90,39.80,39.90,39.90,39.90,2,3750,149375.00,
541309,IPRU3095    ,B ,Q,11.08,11.08,11.08,11.08,11.08,11.71,1,2500,27700.00,
541313,ICICI500    ,B ,Q,204.00,204.50,201.61,203.70,203.70,203.97,36,833,170191.00,
541336,INDOSTAR    ,A ,Q,323.45,332.20,321.05,327.90,327.70,322.90,140,1398,456995.00,
541337,MILEFUR     ,M ,Q,17.10,18.50,17.10,18.50,18.50,18.00,3,9000,158100.00,
541347,PARVATI     ,X ,Q,3.05,3.05,2.80,2.81,2.95,2.93,28,5395,15429.00,
541352,MEGASTAR    ,M ,Q,27.00,27.00,27.00,27.00,27.00,27.00,1,2000,54000.00,
541353,INNOVATORS  ,M ,Q,44.10,44.10,44.10,44.10,44.10,45.00,2,3200,141120.00,
541358,SHWL        ,XT,Q,109.95,109.95,109.95,109.95,109.95,104.75,8,5000,549750.00,
541400,ZIMLAB      ,X ,Q,86.00,86.30,83.25,85.65,85.65,85.40,18,446,37810.00,
541401,ARIHANTINS  ,MT,Q,2.10,2.25,2.08,2.25,2.25,2.15,22,88000,186960.00,
541402,AFFORDABLE  ,M ,Q,84.75,84.75,84.75,84.75,84.75,86.45,2,3200,271200.00,
541403,DOLLAR      ,A ,Q,256.95,263.55,254.45,259.65,259.35,255.05,172,4200,1088602.00,
541418,NGIL        ,M ,Q,38.00,38.00,38.00,38.00,38.00,38.00,1,4000,152000.00,
541444,PALMJEWELS  ,B ,Q,40.00,42.75,40.00,42.40,42.50,39.70,20,684,28586.00,
541445,WAA         ,M ,Q,60.00,62.80,60.00,62.00,62.00,59.90,7,5600,347920.00,
541450,ADANIGREEN  ,A ,Q,1080.00,1098.85,1061.00,1076.15,1076.15,1085.35,2004,31790,34323208.00,
541540,SOLARA      ,A ,Q,1505.00,1519.45,1465.60,1506.30,1506.30,1506.95,723,6010,8986350.00,
541546,GAYAHWS     ,T ,Q,0.61,0.61,0.61,0.61,0.61,0.59,2,1093,666.00,
541556,RITES       ,A ,Q,258.95,258.95,244.05,245.55,245.55,254.80,2351,56701,14088357.00,
541557,FINEORG     ,A ,Q,2369.00,2371.15,2347.25,2351.05,2357.40,2358.35,184,646,1521972.00,
541578,VARROC      ,A ,Q,435.90,435.90,397.25,419.25,419.25,454.95,4050,70888,29574405.00,
541601,RAJNISH     ,M ,Q,11.42,11.42,11.42,11.42,11.42,12.02,2,2400,27408.00,
541627,HITECHWIND  ,XT,Q,11.00,11.26,10.30,11.06,11.06,10.81,16,38109,421374.00,
541678,TVF1G       ,B ,Q,10.77,10.77,10.77,10.77,10.77,11.48,1,20,215.00,
541700,TCNSBRANDS  ,A ,Q,414.70,415.85,406.25,408.55,408.55,412.75,832,9898,4048304.00,
541702,ASHNI       ,XT,Q,3.77,3.77,3.77,3.77,3.77,3.77,1,1,3.00,
541729,HDFCAMC     ,A ,Q,3011.00,3028.30,2985.00,2998.80,2997.70,3010.50,2518,13145,39513868.00,
541735,VIVANTA     ,X ,Q,17.65,17.65,17.65,17.65,17.65,17.35,5,1451,25610.00,
541741,TINNATFL    ,X ,Q,15.59,15.60,15.59,15.60,15.60,15.62,4,170,2651.00,
541744,TVF2G       ,B ,Q,10.58,10.58,10.58,10.58,10.58,10.95,2,5000,52900.00,
541770,CREDITACC   ,A ,Q,745.00,745.00,703.10,712.75,712.00,729.90,744,5950,4255025.00,
541771,AMINTAN     ,X ,Q,0.90,0.94,0.84,0.92,0.87,0.90,22,8471,7777.00,
541778,DEEP        ,M ,Q,74.00,74.00,70.00,74.00,74.00,69.00,3,4500,327000.00,
541804,IPRU3168    ,B ,Q,10.61,11.00,10.61,11.00,11.00,10.56,3,6950,75670.00,
541809,ICICINXT50  ,B ,Q,34.70,34.94,34.30,34.75,34.75,34.57,24,1138,39244.00,
541865,ASRL        ,B ,Q,76.00,78.00,75.00,76.00,76.00,75.25,45,11025,839634.00,
541890,SPACEINCUBA ,XT,Q,0.85,0.85,0.85,0.85,0.85,0.81,21,25175,21398.00,
541929,SGIL        ,M ,Q,98.00,105.00,95.00,105.00,105.00,95.00,3,6000,596000.00,
541946,ICICILIQ    ,F ,Q,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,26,10278,10278000.00,
541956,IRCON       ,A ,Q,97.00,104.50,95.95,103.40,103.40,92.85,18043,2109048,212432210.00,
541972,SETFSN50    ,B ,Q,400.00,413.99,400.00,411.98,411.98,400.05,13,1395,559028.00,
541974,MANORAMA    ,M ,Q,677.10,698.95,668.00,673.70,673.70,680.55,20,3000,2045647.00,
541983,INNOVATIVE  ,M ,Q,7.90,8.30,7.90,8.30,8.30,8.17,4,4000,32390.00,
541984,NIOSAG      ,B ,Q,10.55,10.55,10.55,10.55,10.55,11.00,1,1,10.00,
